番号,氏名,離職時の年齢,離職時の官職,出身府省庁（推定）,離職日,再就職日,再就職先の名称,再就職先の業務内容,再就職先における地位,求職の承認の有無,センター援助の有無
1356,中野　穣治,57,国土交通省大臣官房審議官（防災・リスクコミュニケーション担当）,国土交通省,2024-07-01,2024-11-01,株式会社建設技術研究所,建設コンサルタント事業,技術本部顧問,無,無
1357,中村　健一,58,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,日本工営都市空間株式会社,建設コンサルタント等,都市開発コンサルタント事業本部顧問,無,無
1358,成田　秋義,59,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,株式会社パスク,建設コンサルタント,総括参与,無,無
1359,橋本　幸,59,国土交通省北海道局長,国土交通省,2024-07-01,2024-12-01,一般社団法人北海道開発技術センター,北海道等積雪寒冷地の諸課題に関する調査・研究等業務,顧問,無,無
1360,橋本　昌典,55,国土交通省大臣官房付,国土交通省,2024-07-01,2025-01-01,日本生命保険相互会社,保険業,顧問,無,無
1361,東出　成記,59,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-16,国際航業株式会社,建設コンサルタント業等,顧問（事業統括本部事業推進部技師長室技師長）,無,無
1362,益田　浩,56,国土交通省大臣官房付,国土交通省,2024-07-01,2024-12-16,京王電鉄株式会社,鉄道事業ほか,嘱託社員,無,無
1363,松木　洋忠,57,国土交通省大臣官房付,国土交通省,2024-07-01,2024-09-01,松木技術士事務所,土木コンサルタント,所長,無,無
1364,宮坂　祐介,56,国土交通省大臣官房付,国土交通省,2024-07-01,2024-11-21,在バルバドス日本国大使館,国家公務,特命全権大使,無,無
1365,宮武　一郎,59,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,一般社団法人河川ポンプ施設技術協会,河川ポンプ施設に関する調査研究、開発、普及,企画部長,無,無
1366,村瀬　勝彦,56,国土交通省総合政策局海外プロジェクト推進課国際建設管理官,国土交通省,2024-07-01,2024-09-01,一般財団法人ダム技術センター,ダム技術に関する調査研究等,ダム技術研究所首席研究員,無,無
1367,村田　有,57,国土交通省大臣官房付,国土交通省,2024-07-01,2024-11-01,株式会社KSP,警備業,顧問,無,無
1368,森戸　義貴,57,国土交通省大臣官房付,国土交通省,2024-07-01,2024-12-01,一般社団法人日本道路建設業協会,道路建設技術の向上、研究開発等,常勤顧問専務理事代行,無,無
1369,山口　浩孝,58,国土交通省大臣官房付,国土交通省,2024-07-01,2024-12-01,小田急電鉄株式会社,運輸業,交通企画部顧問,無,無
1370,山口　浩則,60,大阪航空局次長,国土交通省,2024-07-01,2024-12-01,株式会社にしけい,警備業,空港保安事業本部顧問,無,無
1371,四日市　正俊,57,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-01,首都高速道路サービス株式会社,駐車場事業、休憩所事業、不動産事業等,常務取締役,無,無
1372,米津　仁司,59,北海道開発局建設部長,国土交通省,2024-07-01,2024-10-01,三共産業株式会社,不動産売買管理業務,技術顧問,無,無
1373,頼　あゆみ,59,国土交通省大臣官房付,国土交通省,2024-07-01,2024-10-10,西日本建設業保証株式会社,公共工事前払金保証等,理事（経営企画・総務・監査担当）,無,無
1374,和田　信貴,60,国土交通事務次官,国土交通省,2024-07-01,2024-10-01,東京海上日動火災保険株式会社,損害保険事業,顧問,無,無
1375,渡邉　保範,59,海上保安庁海上保安監,海上保安庁,2024-07-01,2024-10-01,三菱重工業株式会社,船舶、交通システム、製鉄機械等の製品開発・販売,顧問,無,無
1376,脇山　芳和,58,国土交通省大臣官房付,国土交通省,2024-07-05,2024-10-07,一般社団法人日本建築士事務所協会連合会,建築士事務所業務に関する指導、勧告及び業務サポート,参与,無,無
1377,大木　章一,61,国土地理院長,国土交通省,2024-07-06,2024-11-01,一般社団法人日本デジタル道路地図協会,道路網及び道路地図に関する数値情報の調査研究等,専務理事,無,無
1378,中込　淳,58,国土交通省水管理・国土保全局水資源部長,国土交通省,2024-07-11,2024-10-01,一般財団法人水源地環境センター,水源地域の環境に関する調査研究及び技術開発等,審議役,無,無
1379,蒲原　潤一,56,国土交通省水管理・国土保全局砂防部保全課長,国土交通省,2024-07-12,2024-10-15,一般財団法人砂防フロンティア整備推進機構,砂防事業等に関する調査、研究,上席研究員,無,無
1380,武井　佐代里,55,国土交通省大臣官房付,国土交通省,2024-07-15,2025-01-01,株式会社電通ライブ,イベントの企画・運営,取締役（非常勤）,無,無
1381,池下　一文,58,北海道開発局開発監理部長,国土交通省,2024-07-16,2024-11-01,一般財団法人北海道開発協会,北海道開発に関する調査研究、広報活動等,参与,無,無
1382,池下　一文,58,北海道開発局開発監理部長,国土交通省,2024-07-16,2025-01-01,一般財団法人北海道開発協会,北海道開発に関する調査研究、広報活動等,理事長,無,無
1383,井上　伸夫,58,国土交通省大臣官房審議官（総合政策担当）,国土交通省,2024-07-16,2024-11-01,日鉄興和不動産株式会社,不動産業,顧問,無,無
1384,井上　伸夫,58,国土交通省大臣官房審議官（総合政策担当）,国土交通省,2024-07-16,2024-11-01,興和不動産投資顧問株式会社,不動産投資顧問業,監査役,無,無
1385,島田　久嗣,59,国土地理院地理空間情報部企画調査課長,国土交通省,2024-09-30,2025-01-01,一般社団法人日本デジタル道路地図協会,道路網及び道路地図に関するデジタルデータの整備・更新及び調査研究等,調査役,無,無
1386,吉田　孝志,45,運輸安全委員会事務局鉄道事故調査官,国土交通省,2024-09-30,2024-10-01,東京地下鉄株式会社,旅客鉄道事業,鉄道本部運転部運転課主任,無,無
1387,井上　慶司,58,国土交通省港湾局付,国土交通省,2024-10-01,2025-01-01,日本工営株式会社,建設コンサルタント業,交通運輸事業本部シニアエンジニア,無,無
1388,小野　正博,59,国土交通省港湾局付,国土交通省,2024-10-01,2025-01-01,JFEエンジニアリング株式会社,エンジニアリング事業,社会インフラ本部顧問,無,無
1389,勝又　正秀,57,国土交通省大臣官房審議官（都市生活環境・国際園芸博覧会担当）,国土交通省,2024-10-01,2025-02-01,日本生命保険相互会社,生命保険事業,顧問,無,無
1390,角湯　克典,57,国土交通省大臣官房付,国土交通省,2024-10-01,2025-02-01,東日本旅客鉄道株式会社,鉄道事業,非常勤嘱託（技術顧問）,無,無
1391,黒川　剛,57,国土交通省大臣官房付,国土交通省,2024-10-01,2025-01-14,株式会社不動産流通研究所,不動産関連書籍の編集・出版等,取締役所長,無,無
1392,塚田　哲也,55,国土交通省道路局路政課道路利用調整室長,国土交通省,2024-10-01,2025-01-06,一般財団法人ITSサービス高度化機構,有料道路自動料金収受システムのセキュリティを確保するための業務等,総務部上席調査役,無,無
1393,永井　一浩,60,国土交通省港湾局付,国土交通省,2024-10-01,2025-01-01,公益社団法人日本港湾協会,港湾に関する調査研究及び知識の普及等,審議役,無,無
1394,古堅　厚弘,60,大阪航空局那覇空港事務所長,国土交通省,2024-10-01,2025-01-01,日本電気株式会社,製造業,エアロスペース営業統括部参与,無,無
1395,松原　悟,60,東京航空交通管制部長,国土交通省,2024-10-01,2025-01-01,一般財団法人航空保安研究センター,航空交通の安全性・効率性等に関する調査研究,担当部長,無,無
1396,渡辺　一寿,61,北海道開発局開発監理部人事課開発専門官（北海道開発局開発監理部職員課長）,国土交通省,2024-12-31,2025-03-01,一般社団法人北海道土木施工管理技士会,土木施工管理技術に関する講習会等の開催、情報提供等,事務局次長,無,無
1397,木村　達哉,60,気象庁大気海洋部付,気象庁,2025-02-24,2025-02-25,世界気象機関（WMO）,気象業務に係る標準設定や加盟国支援,"官民連携室長（Director, Public-Private Engagement Office）",無,無
1398,猪狩　正昭,59,国土交通省大臣官房会計課契約制度管理室長,国土交通省,2025-02-28,2025-03-10,一般社団法人日本民営鉄道協会,鉄道事業の安全・安定輸送向上推進,総務広報部次長 兼 経理課長,無,無
1399,正田　寛,59,環境省地球環境審議官,環境省,2022-07-01,2024-04-01,パナソニックマーケティングジャパン株式会社,パナソニックブランド家電商品の卸販売、修理・サービス業務、太陽光・リフォーム・システムに関するエンジニアリング事業等,アドバイザー,無,無
1400,小野　洋,60,環境省地球環境審議官,環境省,2023-07-01,2024-09-27,公益財団法人地球環境戦略研究機関,地球環境政策に関する戦略研究,所長 兼 常任理事,無,無
1401,太田　志津子,60,環境省大臣官房付,環境省,2024-03-31,2024-06-01,株式会社エックス都市研究所,コンサルタント,研究理事,無,無
1402,萩原　辰男,59,環境省自然環境局自然環境整備課長,環境省,2024-03-31,2024-04-08,公益財団法人日本環境整備教育センター,浄化槽法に規定する試験及び講習の実施等,参事,無,無
1403,只見　康信,60,環境省大臣官房付,環境省,2024-06-30,2024-10-01,公益財団法人廃棄物・3R研究財団,廃棄物の処理・3Rに関する調査・研究事業,技術担当部長,無,無
1404,田村　省二,58,東北地方環境事務所長,環境省,2024-07-01,2024-10-01,アジア航測株式会社,航空写真測量業等,執行役員 兼 国土保全コンサルタント事業部総括技師長,無,有
1405,築島　明,59,環境省大臣官房付,環境省,2024-07-01,2024-11-01,いであ株式会社,建設コンサルタント,国土環境研究所技師長,無,無
1406,吉口　進朗,59,環境省大臣官房総務課企画官 併任 危機管理・災害対策室長,総務省,2024-07-01,2024-10-01,ミヤマ株式会社,廃棄物処理・リサイクル等総合環境事業,参与,無,無
1407,和田　篤也,61,環境事務次官,環境省,2024-07-01,2025-03-01,月島ホールディングス株式会社,機械メーカー、プラントエンジニアリング,顧問,無,無
